10/20/2014 3:13:25 PM New Instance of BeckmanFileHandler! Started: 
10/20/2014 3:13:25 PM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\Data\USER04\
10/20/2014 3:13:25 PM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\
10/20/2014 3:20:50 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00001.xls, 0 move attempts required.
10/20/2014 3:28:13 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00002.xls, 1 move attempts required.
10/20/2014 3:35:37 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00003.xls, 1 move attempts required.
10/20/2014 3:42:59 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00004.xls, 2 move attempts required.
10/20/2014 3:50:21 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00005.xls, 1 move attempts required.
10/20/2014 3:57:45 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00006.xls, 1 move attempts required.
10/20/2014 4:05:09 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00007.xls, 1 move attempts required.
10/20/2014 4:12:32 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00008.xls, 2 move attempts required.
10/20/2014 4:19:54 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00009.xls, 2 move attempts required.
10/20/2014 4:21:24 PM Moving file... Old file path: UN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00010.xls, 1 move attempts required.
10/20/2014 4:27:46 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00011.xls, 2 move attempts required.
10/20/2014 4:35:08 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00012.xls, 2 move attempts required.
10/20/2014 4:42:31 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00013.xls, 2 move attempts required.
10/20/2014 4:49:52 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00014.xls, 1 move attempts required.
10/20/2014 4:57:14 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00015.xls, 2 move attempts required.
10/20/2014 5:04:38 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00016.xls, 2 move attempts required.
10/20/2014 5:12:02 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00017.xls, 2 move attempts required.
10/20/2014 5:19:23 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00018.xls, 1 move attempts required.
10/20/2014 5:26:47 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00019.xls, 2 move attempts required.
10/20/2014 5:28:17 PM Moving file... Old file path: UN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00020.xls, 1 move attempts required.
10/20/2014 5:34:39 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00021.xls, 2 move attempts required.
10/20/2014 5:41:59 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00022.xls, 1 move attempts required.
10/20/2014 5:49:22 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00023.xls, 2 move attempts required.
10/20/2014 5:56:44 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00024.xls, 1 move attempts required.
10/20/2014 6:04:06 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00025.xls, 2 move attempts required.
10/20/2014 6:11:29 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00026.xls, 1 move attempts required.
10/20/2014 6:18:53 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00027.xls, 2 move attempts required.
10/20/2014 6:26:14 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00028.xls, 1 move attempts required.
10/20/2014 6:33:36 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00029.xls, 1 move attempts required.
10/20/2014 6:35:06 PM Moving file... Old file path: UN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00030.xls, 1 move attempts required.
10/20/2014 6:41:28 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00031.xls, 2 move attempts required.
10/20/2014 6:48:49 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00032.xls, 2 move attempts required.
10/20/2014 6:56:12 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00033.xls, 2 move attempts required.
10/20/2014 7:03:33 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00034.xls, 1 move attempts required.
10/20/2014 7:10:56 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00035.xls, 2 move attempts required.
10/20/2014 7:18:18 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00036.xls, 1 move attempts required.
10/20/2014 7:25:42 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00037.xls, 1 move attempts required.
10/20/2014 7:33:04 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00038.xls, 1 move attempts required.
10/20/2014 7:40:26 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00039.xls, 1 move attempts required.
10/20/2014 7:41:56 PM Moving file... Old file path: UN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00040.xls, 1 move attempts required.
10/20/2014 7:48:18 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00041.xls, 2 move attempts required.
10/20/2014 7:55:39 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00042.xls, 1 move attempts required.
10/20/2014 8:03:01 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00043.xls, 1 move attempts required.
10/20/2014 8:10:23 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00044.xls, 2 move attempts required.
10/20/2014 8:17:44 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00045.xls, 2 move attempts required.
10/20/2014 8:25:07 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00046.xls, 1 move attempts required.
10/20/2014 8:32:32 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00047.xls, 2 move attempts required.
10/20/2014 8:39:54 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00048.xls, 1 move attempts required.
10/20/2014 8:47:18 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00049.xls, 2 move attempts required.
10/20/2014 8:48:48 PM Moving file... Old file path: UN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00050.xls, 1 move attempts required.
10/20/2014 8:55:10 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00051.xls, 2 move attempts required.
10/20/2014 9:02:31 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00052.xls, 2 move attempts required.
10/20/2014 9:09:54 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00053.xls, 2 move attempts required.
10/20/2014 9:17:16 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00054.xls, 1 move attempts required.
