Instrument Type				LS 6000							
Data Capture Date				20 Oct 2014 21:55:40							
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RAD915BA.TMP							


User Number				4							
User Id				TEST2							
User Comments											

Scintillator Choice:				LIQUID							




Sam	Rack	Time	IC#	Raw CPM1	Raw CPM2	CPM Iso1	%Err1	CPM Iso2	%Err2	LumEx	ElTime

1	**-1	5.00	4.1020	8264.40	8264.40	8264.40	0.98	8264.40	0.98	0.08	5.46
2	**-2	5.00	18.2500	86275.20	86275.20	86275.20	0.30	86275.20	0.30	0.02	12.77
3	**-3	5.00	18.1800	79666.20	79666.20	79666.20	0.32	79666.20	0.32	0.02	20.13
4	**-4	5.00	17.1400	85422.00	85422.00	85422.00	0.31	85422.00	0.31	0.00	27.51
5	**-5	5.00	17.1500	86410.60	86410.60	86410.60	0.30	86410.60	0.30	0.00	34.88
6	**-6	5.00	18.2800	87252.40	87252.40	87252.40	0.30	87252.40	0.30	0.00	42.24
7	**-7	5.00	18.3100	89547.00	89547.00	89547.00	0.30	89547.00	0.30	0.02	49.63
8	**-8	5.00	17.0800	83050.20	83050.20	83050.20	0.31	83050.20	0.31	0.00	56.99
9	**-9	5.00	17.2600	82913.40	82913.40	82913.40	0.31	82913.40	0.31	0.00	64.35
