Instrument Type				LS 6000							
Data Capture Date				21 Oct 2014 03:29:39							
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RADFA8FA.TMP							


User Number				4							
User Id				TEST2							
User Comments											

Scintillator Choice:				LIQUID							




Sam	Rack	Time	IC#	Raw CPM1	Raw CPM2	CPM Iso1	%Err1	CPM Iso2	%Err2	LumEx	ElTime

1	**-1	5.00	4.1260	8133.20	8133.20	8133.20	0.99	8133.20	0.99	0.08	5.46
2	**-2	5.00	18.2000	84316.20	84316.20	84316.20	0.31	84316.20	0.31	0.02	12.75
3	**-3	5.00	18.2000	81551.80	81551.80	81551.80	0.31	81551.80	0.31	0.02	20.11
4	**-4	5.00	17.1800	85062.60	85062.60	85062.60	0.31	85062.60	0.31	0.00	27.49
5	**-5	5.00	17.1300	87507.80	87507.80	87507.80	0.30	87507.80	0.30	0.00	34.85
6	**-6	5.00	18.2200	85846.40	85846.40	85846.40	0.31	85846.40	0.31	0.00	42.24
7	**-7	5.00	18.2300	89033.40	89033.40	89033.40	0.30	89033.40	0.30	0.00	49.61
8	**-8	5.00	17.0700	85054.80	85054.80	85054.80	0.31	85054.80	0.31	0.00	56.99
9	**-9	5.00	17.2000	88182.60	88182.60	88182.60	0.30	88182.60	0.30	0.00	64.36
