Data Capture Date				22 Oct 2014 10:17:47		
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RAD705F7.TMP		

Spectrum Type				Linear Counts		
User Number				04		
User Id				TEST2		
User Comment						
Isotope Name						
Scintillator				LIQUID		
"Sample, Rack-Pos, Time:"				45	**-9	5.00
"H#, Total Counts:"				196.3	472271	
"Start, End, X-Axis:"				0	4095	Channel Number

Channel	Counts					

0	692
1	1718
2	6585
3	6898
4	5139
5	4025
6	3262
7	2709
8	2539
9	2441
10	2266
11	2246
12	2243
13	2105
14	2091
15	2002
16	2015
17	1889
18	1893
19	1802
20	1819
21	1841
22	1878
23	1905
24	1856
25	1905
26	1912
27	1940
28	1963
29	1880
30	1900
31	1897
32	1867
33	1886
34	1875
35	1847
36	1843
37	1789
38	1723
39	1704
40	1671
41	1620
42	1598
43	1565
44	1456
45	1435
46	1419
47	1402
48	1389
49	1377
50	1346
51	1276
52	1259
53	1247
54	1219
55	1199
56	1195
57	1192
58	1168
59	1163
60	1161
61	1160
62	1110
63	1108
64	1111
65	1117
66	1101
67	1106
68	1110
69	1113
70	1077
71	1072
72	1072
73	1075
74	1060
75	1051
76	1057
77	1062
78	1060
79	1045
80	1049
81	1053
82	1055
83	1035
84	1026
85	1028
86	1026
87	1025
88	991
89	991
90	992
91	993
92	990
93	980
94	982
95	980
96	978
97	958
98	934
99	934
100	936
101	941
102	944
103	947
104	950
105	950
106	949
107	932
108	902
109	896
110	891
111	885
112	878
113	858
114	853
115	850
116	847
117	842
118	825
119	817
120	815
121	813
122	811
123	806
124	798
125	797
126	793
127	790
128	786
129	767
130	752
131	750
132	747
133	747
134	745
135	744
136	743
137	743
138	741
139	739
140	736
141	705
142	701
143	701
144	701
145	702
146	705
147	712
148	715
149	714
150	715
151	712
152	709
153	683
154	675
155	670
156	668
157	665
158	661
159	651
160	644
161	644
162	645
163	647
164	650
165	653
166	659
167	662
168	663
169	665
170	665
171	664
172	644
173	634
174	633
175	629
176	630
177	629
178	628
179	622
180	623
181	624
182	624
183	624
184	626
185	625
186	621
187	621
188	621
189	619
190	616
191	615
192	604
193	590
