Data Capture Date				23 Oct 2014 07:49:00		
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RADCE91C.TMP		

Spectrum Type				Linear Counts		
User Number				04		
User Id				TEST2		
User Comment						
Isotope Name						
Scintillator				LIQUID		
"Sample, Rack-Pos, Time:"				51	**-3	5.00
"H#, Total Counts:"				186.3	530277	
"Start, End, X-Axis:"				0	4095	Channel Number

Channel	Counts					

0	591
1	2309
2	9252
3	11204
4	10024
5	8578
6	6895
7	5463
8	4412
9	3708
10	3181
11	2901
12	2726
13	2473
14	2381
15	2212
16	2186
17	2054
18	2060
19	1986
20	1996
21	1953
22	1937
23	1941
24	1887
25	1930
26	1903
27	1941
28	2010
29	2042
30	2101
31	2091
32	2028
33	2059
34	2065
35	2064
36	2075
37	2021
38	1949
39	1922
40	1859
41	1768
42	1732
43	1696
44	1614
45	1585
46	1556
47	1488
48	1448
49	1418
50	1379
51	1315
52	1295
53	1277
54	1241
55	1217
56	1203
57	1190
58	1132
59	1117
60	1122
61	1129
62	1134
63	1144
64	1152
65	1156
66	1109
67	1108
68	1104
69	1102
70	1071
71	1067
72	1070
73	1073
74	1064
75	1059
76	1063
77	1067
78	1058
79	1026
80	1028
81	1033
82	1037
83	1028
84	1029
85	1034
86	1040
87	1040
88	1015
89	1017
90	1019
91	1019
92	1007
93	984
94	985
95	986
96	986
97	977
98	967
99	969
100	973
101	976
102	970
103	962
104	963
105	960
106	958
107	944
108	921
109	915
110	910
111	905
112	899
113	872
114	868
115	864
116	862
117	858
118	848
119	843
120	842
121	841
122	840
123	835
124	824
125	822
126	820
127	819
128	817
129	804
130	793
131	791
132	789
133	785
134	784
135	768
136	763
137	762
138	760
139	758
140	755
141	732
142	732
143	732
144	734
145	736
146	739
147	741
148	744
149	745
150	747
151	747
152	745
153	724
154	717
155	713
156	709
157	704
158	700
159	682
160	668
161	665
162	662
163	661
164	662
165	661
166	660
167	661
168	665
169	666
170	667
171	667
172	658
173	654
174	653
175	652
176	651
177	650
178	646
179	625
180	625
181	624
182	625
183	626
184	628
185	633
186	637
187	640
188	640
189	639
190	638
191	636
192	621
193	604
194	602
