Data Capture Date				23 Oct 2014 18:13:56		
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RAD00682.TMP		

Spectrum Type				Linear Counts		
User Number				04		
User Id				TEST2		
User Comment						
Isotope Name						
Scintillator				LIQUID		
"Sample, Rack-Pos, Time:"				70	**-10	5.00
"H#, Total Counts:"				172.8	370889	
"Start, End, X-Axis:"				0	4095	Channel Number

Channel	Counts					

0	388
1	1512
2	6218
3	7806
4	7259
5	6446
6	5709
7	4853
8	4217
9	3764
10	3352
11	3112
12	2920
13	2608
14	2459
15	2241
16	2171
17	2014
18	1968
19	1841
20	1794
21	1723
22	1667
23	1631
24	1543
25	1539
26	1505
27	1500
28	1503
29	1438
30	1449
31	1440
32	1415
33	1440
34	1449
35	1454
36	1472
37	1446
38	1405
39	1399
40	1378
41	1334
42	1324
43	1307
44	1245
45	1227
46	1209
47	1159
48	1130
49	1115
50	1096
51	1063
52	1048
53	1031
54	986
55	949
56	935
57	924
58	903
59	893
60	885
61	878
62	840
63	831
64	825
65	818
66	791
67	789
68	790
69	791
70	780
71	780
72	782
73	784
74	770
75	757
76	757
77	757
78	751
79	736
80	736
81	736
82	737
83	716
84	708
85	712
86	718
87	726
88	735
89	741
90	743
91	742
92	729
93	699
94	695
95	687
96	684
97	674
98	664
99	661
100	656
101	653
102	642
103	629
104	628
105	626
106	626
107	624
108	619
109	620
110	620
111	621
112	619
113	600
114	598
115	599
116	598
117	597
118	592
119	591
120	589
121	589
122	587
123	579
124	564
125	559
126	557
127	554
128	551
129	545
130	541
131	538
132	535
133	530
134	525
135	507
136	501
137	496
138	494
139	493
140	490
141	484
142	484
143	482
144	481
145	480
146	479
147	466
148	465
149	464
150	466
151	466
152	467
153	462
154	461
155	462
156	463
157	464
158	464
159	462
160	459
161	457
162	454
163	451
164	447
165	438
166	418
167	414
168	410
169	408
170	406
171	405
172	406
173	407
174	408
175	409
176	408
177	410
178	408
179	400
180	398
181	397
182	396
183	396
184	395
185	392
186	387
187	385
188	384
189	383
190	382
191	381
192	376
193	371
194	370
195	370
196	369
197	369
198	369
199	368
200	367
201	368
202	369
203	369
204	371
205	370
206	368
207	364
208	363
209	361
210	362
211	362
212	362
213	362
214	354
215	354
216	353
217	354
218	352
219	352
220	352
221	349
222	348
223	348
224	347
225	346
226	346
227	345
228	343
229	337
230	336
231	335
232	336
233	334
234	333
235	334
236	331
237	329
238	330
239	331
240	333
241	333
242	334
243	336
244	335
245	337
246	339
247	338
248	339
249	340
250	342
251	341
252	334
253	334
254	333
255	332
256	331
257	331
258	330
259	329
260	324
261	322
262	320
263	318
264	317
265	316
266	315
267	313
268	306
269	303
270	302
271	300
272	301
273	299
274	299
275	299
276	296
277	295
278	297
279	297
280	298
281	300
282	300
283	303
284	304
285	309
286	310
287	311
288	311
289	313
290	312
291	312
292	310
293	296
294	291
295	289
296	290
297	290
298	291
299	291
300	294
301	296
302	304
303	306
304	308
305	310
306	312
307	312
308	312
309	311
310	308
311	300
312	299
313	299
314	297
315	296
316	296
317	295
318	294
319	293
320	291
321	291
322	291
323	292
324	292
325	292
326	292
327	293
328	293
329	291
330	292
331	292
332	293
333	292
334	294
335	294
336	295
337	293
338	290
339	290
340	289
341	289
342	288
343	288
344	288
345	287
346	285
347	278
348	276
349	277
350	276
351	275
352	276
353	275
354	275
355	275
356	275
357	276
358	277
359	277
360	277
361	277
362	278
363	279
364	279
365	277
366	272
367	271
368	272
369	273
370	273
371	274
372	274
373	275
374	275
375	275
376	275
377	275
378	276
379	277
380	276
381	277
382	276
383	277
384	275
385	268
386	265
387	266
388	266
389	266
390	267
391	267
392	268
393	269
394	271
395	276
396	277
397	278
398	279
399	280
400	280
401	281
402	281
403	281
404	280
405	271
406	270
407	270
408	270
409	268
410	267
411	267
412	266
413	265
414	266
415	261
416	260
417	260
418	260
419	261
420	261
421	261
422	261
423	263
424	263
425	263
426	264
427	265
428	266
429	268
430	267
431	269
432	271
433	271
434	272
435	271
436	269
437	270
438	270
439	271
440	271
441	272
442	272
443	274
444	274
445	275
446	274
447	273
448	273
449	275
450	273
451	273
452	273
453	272
454	272
455	272
456	270
457	263
458	262
459	262
460	262
461	262
462	262
463	262
464	262
465	262
466	264
467	263
468	265
469	266
470	266
471	267
472	267
473	269
474	269
475	269
476	270
477	271
478	270
479	269
480	268
481	269
482	269
483	269
484	269
485	270
486	270
487	270
488	270
489	266
490	262
491	262
492	262
493	263
494	263
495	264
496	264
497	265
498	265
499	266
500	268
501	269
502	270
503	271
504	271
505	274
506	274
507	275
508	275
509	278
510	277
511	278
512	274
513	275
514	275
515	276
516	276
517	277
518	276
519	278
520	278
521	277
522	279
523	273
524	272
525	273
526	273
527	274
528	274
529	275
530	276
531	277
532	279
533	281
534	282
535	286
536	288
537	289
538	289
539	291
540	292
541	292
542	294
543	293
544	293
545	293
546	287
547	281
548	282
549	282
550	282
551	283
552	283
553	283
554	284
555	285
556	286
557	287
558	291
559	291
560	293
561	295
562	295
563	295
564	297
565	297
566	297
567	299
568	298
569	299
570	291
571	291
572	291
573	291
574	292
575	293
576	293
577	294
578	294
579	295
580	295
581	295
582	294
583	295
584	295
585	296
586	298
587	298
588	299
589	301
590	300
591	302
592	303
593	304
594	303
595	303
596	304
597	305
598	306
599	307
600	308
601	309
602	312
603	313
604	313
605	315
606	316
607	318
608	318
609	320
610	320
611	321
612	321
613	322
614	322
615	322
616	322
617	322
618	320
619	310
620	310
621	310
622	310
623	309
624	309
625	311
626	310
627	310
628	311
629	312
630	312
631	313
632	314
633	314
634	315
635	316
636	316
637	317
638	317
639	318
640	318
641	319
642	319
643	318
644	315
645	314
646	315
647	315
648	315
649	316
650	316
651	315
652	316
653	316
654	317
655	317
656	316
657	316
658	316
659	315
660	316
661	315
