10/22/2014 5:51:43 PM New Instance of BeckmanFileHandler! Started: 
10/22/2014 5:51:43 PM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\Data\USER04\
10/22/2014 5:51:43 PM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\
10/22/2014 6:00:11 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00001.xls, 0 move attempts required.
10/22/2014 6:07:31 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00002.xls, 1 move attempts required.
10/22/2014 6:14:52 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00003.xls, 2 move attempts required.
10/22/2014 6:22:12 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00004.xls, 2 move attempts required.
10/22/2014 6:29:32 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00005.xls, 1 move attempts required.
10/22/2014 6:36:53 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00006.xls, 1 move attempts required.
10/22/2014 6:44:15 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00007.xls, 2 move attempts required.
10/22/2014 6:51:35 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00008.xls, 2 move attempts required.
10/22/2014 6:58:54 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00009.xls, 1 move attempts required.
10/22/2014 7:06:16 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00010.xls, 2 move attempts required.
10/22/2014 7:13:37 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00011.xls, 1 move attempts required.
10/22/2014 7:21:07 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00012.xls, 2 move attempts required.
10/22/2014 7:28:18 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00013.xls, 2 move attempts required.
10/22/2014 7:35:39 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00014.xls, 2 move attempts required.
10/22/2014 7:43:01 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00015.xls, 1 move attempts required.
