Data Capture Date				17 Nov 2014 23:51:33		
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RAD0D545.TMP		

Spectrum Type				Linear Counts		
User Number				04		
User Id				TEST2		
User Comment						
Isotope Name				WIND1		
Scintillator				LIQUID		
"Sample, Rack-Pos, Time:"				30	**-6	5.00
"H#, Total Counts:"				175.1	601627	
"Start, End, X-Axis:"				0	4095	Channel Number

Channel	Counts					

0	544
1	2650
2	10725
3	13831
4	13315
5	11947
6	10199
7	8643
8	7449
9	6486
10	5505
11	4897
12	4456
13	3897
14	3631
15	3273
16	3124
17	2797
18	2699
19	2531
20	2459
21	2323
22	2231
23	2180
24	2093
25	2085
26	2001
27	1982
28	1990
29	1937
30	1970
31	1971
32	1954
33	1977
34	1952
35	1917
36	1915
37	1865
38	1804
39	1783
40	1732
41	1655
42	1624
43	1576
44	1470
45	1441
46	1420
47	1394
48	1376
49	1356
50	1317
51	1241
52	1220
53	1201
54	1172
55	1154
56	1144
57	1136
58	1093
59	1083
60	1081
61	1080
62	1067
63	1069
64	1070
65	1069
66	1016
67	1014
68	1019
69	1023
70	1014
71	1019
72	1026
73	1034
74	1018
75	1011
76	1014
77	1019
78	1014
79	990
80	993
81	999
82	1007
83	999
84	1000
85	1007
86	1009
87	1005
88	974
89	973
90	974
91	975
92	969
93	955
94	957
95	957
96	958
97	948
98	934
99	933
100	932
101	930
102	914
103	897
104	896
105	898
106	898
107	896
108	888
109	889
110	890
111	889
112	885
113	864
114	859
115	856
116	853
117	849
118	823
119	813
120	810
121	811
122	811
123	813
124	817
125	819
126	818
127	817
128	812
129	791
130	774
131	771
132	769
133	766
134	765
135	760
136	760
137	760
138	758
139	757
140	755
141	726
142	725
143	727
144	727
145	729
146	733
147	732
148	735
149	738
150	739
151	739
152	739
153	722
154	716
155	715
156	711
157	706
158	703
159	684
160	673
161	671
162	670
163	671
164	674
165	678
166	684
167	687
168	690
169	693
170	693
171	693
172	677
173	672
174	668
175	668
176	665
177	665
178	662
179	645
180	645
181	645
182	645
183	645
184	647
185	643
186	638
187	640
188	641
189	642
190	644
191	645
192	642
193	640
194	641
195	642
196	643
197	644
198	645
199	635
200	628
201	627
202	628
203	628
204	628
205	629
206	629
207	627
208	627
209	626
210	626
211	623
212	623
213	617
214	598
215	597
216	595
217	595
218	595
219	596
220	596
221	597
222	599
223	601
224	601
225	603
226	604
227	605
228	601
229	592
230	590
231	591
232	589
233	590
234	589
235	589
236	578
237	573
238	572
239	575
240	575
241	578
242	580
243	582
244	586
245	589
246	591
247	593
248	594
249	595
250	594
251	594
252	574
253	573
254	572
255	571
256	570
257	570
258	570
259	570
260	566
261	566
262	567
263	568
264	568
265	569
266	570
267	571
268	565
269	565
270	565
271	565
272	564
273	563
274	563
275	562
276	551
277	544
278	545
279	546
280	545
281	548
282	549
283	551
284	554
285	557
286	561
287	562
288	563
289	565
290	566
291	566
292	566
293	551
294	546
295	546
296	546
297	546
298	547
299	548
300	548
301	549
302	548
303	549
304	550
305	552
306	552
307	552
308	554
309	554
310	551
311	544
312	545
313	544
314	543
315	542
316	542
317	542
318	541
319	534
320	527
321	527
322	529
323	528
324	529
325	531
326	532
327	533
328	536
329	539
330	540
331	541
332	542
333	542
334	544
335	543
336	543
337	537
338	525
339	524
340	524
341	524
342	522
343	523
344	522
345	524
346	524
347	523
348	524
349	525
350	525
351	526
352	526
353	527
354	526
355	527
356	518
357	515
358	514
359	515
360	515
361	514
362	514
363	514
364	513
365	513
366	508
367	510
368	510
369	511
370	511
371	512
372	512
373	512
374	514
375	511
376	509
377	509
378	510
379	510
380	511
381	512
382	513
383	513
384	513
385	506
386	503
387	505
388	505
389	506
390	507
391	508
392	510
393	512
394	513
395	517
396	520
397	520
398	522
399	522
400	523
401	522
402	522
403	522
404	520
405	499
406	498
407	498
408	496
409	497
410	496
411	497
412	497
413	498
414	499
415	504
416	505
417	506
418	507
419	509
420	510
421	512
422	512
423	512
424	512
425	506
426	501
427	501
428	501
429	502
430	503
431	503
432	504
433	505
434	505
435	505
436	500
437	503
438	504
439	505
440	506
441	508
442	509
443	511
444	512
445	514
446	515
447	517
448	517
449	519
450	520
451	520
452	522
453	521
454	522
455	522
456	520
457	508
458	508
459	508
460	507
461	507
462	506
463	506
464	506
465	506
466	507
467	504
468	501
469	502
470	503
471	503
472	504
473	506
474	507
475	508
476	509
477	510
478	509
479	506
480	508
481	510
482	512
483	513
484	516
485	518
486	519
487	521
488	524
489	527
490	529
491	530
492	532
493	534
494	534
495	535
496	535
497	535
498	536
499	535
500	527
501	515
502	515
503	515
504	514
505	515
506	515
507	515
508	515
509	517
510	517
511	517
512	519
513	519
514	520
515	522
516	524
517	524
518	526
519	528
520	529
521	531
522	532
523	528
524	528
525	528
526	531
527	532
528	532
529	535
530	537
531	538
532	540
533	542
534	542
535	541
536	544
537	545
538	547
539	548
540	549
541	551
542	552
543	554
544	555
545	556
546	550
547	546
548	547
549	549
550	550
551	552
552	553
553	554
554	555
555	557
556	559
557	560
558	561
559	561
560	564
561	565
562	567
563	569
564	570
565	572
566	573
567	576
568	576
569	577
570	572
571	572
572	573
573	576
574	576
575	577
576	580
577	580
578	581
579	584
580	584
581	584
582	581
583	581
584	582
585	584
586	584
587	586
588	586
589	588
590	588
591	590
592	590
593	590
594	589
595	589
596	589
597	589
598	589
599	588
600	588
601	588
602	587
603	586
604	586
605	583
606	575
607	568
608	567
609	566
610	566
611	565
612	564
613	565
614	564
615	564
616	565
617	565
618	568
619	574
620	574
621	575
622	575
623	574
624	574
625	573
626	572
627	569
628	568
629	565
630	564
631	550
632	544
633	542
634	539
635	537
636	533
637	531
638	528
639	526
640	524
641	522
642	519
643	517
644	517
645	514
646	513
647	508
648	506
649	503
650	499
651	496
652	492
653	488
654	485
655	478
656	472
657	457
658	453
659	450
660	445
661	442
662	438
663	434
664	433
665	428
666	425
667	423
668	419
669	420
670	421
671	417
672	416
673	412
674	410
675	408
676	403
677	401
678	398
679	393
680	391
681	387
682	381
683	375
684	371
685	367
686	362
687	359
688	355
689	348
690	346
691	341
692	336
693	333
694	326
695	320
696	313
697	306
698	304
699	296
700	294
701	288
702	283
703	280
704	274
705	270
706	265
707	260
708	258
709	247
710	245
711	240
712	235
713	234
714	227
715	226
716	222
717	217
718	215
719	211
720	208
721	205
722	203
723	202
724	197
725	196
726	193
727	189
728	188
729	183
730	182
731	178
732	175
733	174
734	170
735	168
736	162
737	161
738	158
739	155
740	154
741	151
742	149
743	148
744	145
745	143
746	140
747	139
748	136
749	135
750	133
751	132
752	130
753	128
754	127
755	126
756	123
757	123
758	120
759	119
760	117
761	117
762	116
763	113
764	114
765	112
766	111
767	109
768	109
769	107
770	107
771	105
772	104
773	103
774	102
775	100
776	100
777	97
778	97
779	95
780	95
781	95
782	93
783	92
784	92
785	91
786	89
787	89
788	89
789	88
790	87
791	90
792	89
793	88
794	88
795	87
796	87
797	86
798	85
799	85
800	83
801	82
802	81
803	80
804	79
805	75
806	73
807	72
808	71
809	71
810	70
811	69
812	69
813	68
814	67
815	67
816	66
817	66
818	66
819	68
820	68
821	69
822	68
823	69
824	68
825	69
826	68
827	68
828	67
829	68
830	67
831	67
832	67
833	67
834	67
835	67
836	67
837	67
838	66
839	66
840	65
841	65
842	64
843	64
844	64
845	64
846	62
847	63
848	60
849	61
850	59
851	59
852	58
853	59
854	58
855	57
856	58
857	57
858	56
859	56
860	56
861	55
862	56
863	57
864	56
