Instrument Type				LS 6000							
Data Capture Date				17 Nov 2014 21:43:07							
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RADE5ACD.TMP							


User Number				4							
User Id				TEST2							
User Comments											

Scintillator Choice:				LIQUID							




Sam	Rack	Time	IC#	Raw CPM1	Raw CPM2	CPM Iso1	%Err1	CPM Iso2	%Err2	LumEx	ElTime

1	**-1	5.00	45.1100	140119.80	140119.80	140119.80	0.24	140119.80	0.24	0.02	5.72
2	**-2	5.00	13.1100	121034.00	121034.00	121034.00	0.26	121034.00	0.26	0.00	13.50
4	**-4	5.00	15.5500	478057.19	478057.19	478057.19	0.13	478057.19	0.13	0.00	21.67
6	**-6	5.00	12.9200	105182.20	105182.20	105182.20	0.28	105182.20	0.28	0.00	29.08
8	**-8	5.00	14.8600	308698.19	308698.19	308698.19	0.16	308698.19	0.16	0.00	36.91
10	**-10	5.00	18.5100	107838.80	107838.80	107838.80	0.27	107838.80	0.27	0.00	44.30
12	**-12	5.00	21.5600	253786.80	253786.80	253786.80	0.18	253786.80	0.18	0.00	52.02
14	**-2	5.00	118.1000	235167.80	235167.80	235167.80	0.18	235167.80	0.18	0.00	59.86
15	**-3	5.00	18.4200	96720.40	96720.40	96720.40	0.29	96720.40	0.29	0.00	67.60
17	**-5	5.00	20.2400	159372.41	159372.41	159372.41	0.22	159372.41	0.22	0.00	75.11
19	**-7	5.00	22.7400	91543.40	91543.40	91543.40	0.30	91543.40	0.30	0.00	82.48
21	**-9	5.00	24.5500	133622.59	133622.59	133622.59	0.24	133622.59	0.24	0.00	89.97
23	**-11	5.00	22.6800	96267.20	96267.20	96267.20	0.29	96267.20	0.29	0.00	97.39
25	**-1	5.00	23.8100	125367.60	125367.60	125367.60	0.25	125367.60	0.25	0.00	104.97
27	**-3	5.00	4.1810	8695.60	8695.60	8695.60	0.96	8695.60	0.96	0.00	112.20
28	**-4	5.00	172.1000	99305.80	99305.80	99305.80	0.28	99305.80	0.28	0.00	119.46
30	**-6	5.00	175.1000	120325.40	120325.40	120325.40	0.26	120325.40	0.26	0.00	127.25
32	**-8	5.00	161.6000	95437.40	95437.40	95437.40	0.29	95437.40	0.29	0.00	135.12
34	**-10										
