10/10/2014 11:13:13 AM New Instance of BeckmanFileHandler! Started: 
10/10/2014 11:13:13 AM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\NSRL Data\USER04\
10/10/2014 11:13:13 AM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\
10/10/2014 11:24:22 AM New Instance of BeckmanFileHandler! Started: 
10/10/2014 11:24:22 AM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\NSRL Data\USER04\
10/10/2014 11:24:22 AM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\
10/10/2014 11:25:10 AM New Instance of BeckmanFileHandler! Started: 
10/10/2014 11:25:10 AM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\Data\USER04\
10/10/2014 11:25:10 AM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\
10/10/2014 11:25:11 AM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00001.xls, 0 move attempts required.
10/10/2014 11:27:57 AM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00002.xls, 2 move attempts required.
10/10/2014 11:36:05 AM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00003.xls, 2 move attempts required.
10/10/2014 11:44:09 AM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00004.xls, 1 move attempts required.
10/10/2014 11:52:11 AM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00005.xls, 1 move attempts required.
10/10/2014 12:00:12 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00006.xls, 2 move attempts required.
10/10/2014 12:07:29 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00007.xls, 2 move attempts required.
10/10/2014 12:14:45 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00008.xls, 1 move attempts required.
10/10/2014 12:22:00 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00009.xls, 1 move attempts required.
10/10/2014 12:29:18 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00010.xls, 1 move attempts required.
10/10/2014 12:36:36 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00011.xls, 1 move attempts required.
10/10/2014 12:43:55 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00012.xls, 1 move attempts required.
10/10/2014 12:51:31 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00013.xls, 2 move attempts required.
10/10/2014 12:58:38 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00014.xls, 1 move attempts required.
10/10/2014 1:05:55 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00015.xls, 1 move attempts required.
10/10/2014 1:13:14 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00016.xls, 2 move attempts required.
10/10/2014 1:20:32 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00017.xls, 1 move attempts required.
10/10/2014 1:27:50 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00018.xls, 2 move attempts required.
10/10/2014 1:35:10 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00019.xls, 2 move attempts required.
10/10/2014 1:42:30 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00020.xls, 2 move attempts required.
10/10/2014 1:49:51 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00021.xls, 2 move attempts required.
10/10/2014 1:57:10 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00022.xls, 2 move attempts required.
10/10/2014 2:04:29 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00023.xls, 1 move attempts required.
10/10/2014 2:11:48 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00024.xls, 1 move attempts required.
10/10/2014 2:19:13 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00025.xls, 1 move attempts required.
