11/13/2014 4:26:11 PM New Instance of BeckmanFileHandler! Started: 
11/13/2014 4:26:11 PM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\Data\USER04\
11/13/2014 4:26:11 PM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\
11/13/2014 4:31:30 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00001.xls, 1 move attempts required.
11/13/2014 4:38:56 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00002.xls, 2 move attempts required.
11/13/2014 4:46:12 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00003.xls, 1 move attempts required.
11/13/2014 4:53:29 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00004.xls, 1 move attempts required.
11/13/2014 5:00:46 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00005.xls, 1 move attempts required.
11/13/2014 5:08:05 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00006.xls, 2 move attempts required.
11/13/2014 5:15:24 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00007.xls, 2 move attempts required.
11/13/2014 5:23:22 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00008.xls, 2 move attempts required.
11/13/2014 5:30:49 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00009.xls, 1 move attempts required.
11/13/2014 5:38:07 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00010.xls, 2 move attempts required.
11/13/2014 5:45:25 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00011.xls, 1 move attempts required.
11/13/2014 5:52:44 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00012.xls, 1 move attempts required.
11/13/2014 6:00:04 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00013.xls, 2 move attempts required.
11/13/2014 6:07:30 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00014.xls, 2 move attempts required.
11/13/2014 6:14:39 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00015.xls, 2 move attempts required.
11/13/2014 6:22:04 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00016.xls, 2 move attempts required.
11/13/2014 6:29:40 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00017.xls, 1 move attempts required.
11/13/2014 6:37:16 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00018.xls, 1 move attempts required.
11/13/2014 6:44:52 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00019.xls, 2 move attempts required.
11/13/2014 6:52:18 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00020.xls, 2 move attempts required.
11/13/2014 6:59:41 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00021.xls, 2 move attempts required.
11/13/2014 7:06:47 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00022.xls, 1 move attempts required.
11/13/2014 7:14:02 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00023.xls, 1 move attempts required.
11/13/2014 7:21:19 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00024.xls, 1 move attempts required.
11/13/2014 7:28:38 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00025.xls, 2 move attempts required.
11/13/2014 7:35:57 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00026.xls, 2 move attempts required.
11/13/2014 7:43:22 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00027.xls, 1 move attempts required.
11/13/2014 7:50:41 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00028.xls, 1 move attempts required.
11/13/2014 7:57:49 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00029.xls, 1 move attempts required.
11/13/2014 8:05:06 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00030.xls, 1 move attempts required.
11/13/2014 8:12:26 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00031.xls, 2 move attempts required.
11/13/2014 8:19:45 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00032.xls, 1 move attempts required.
11/13/2014 8:27:05 PM Moving file... Old file path: SN111301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_10_141113\MeasurementNo00033.xls, 2 move attempts required.
