11/14/2014 9:21:20 AM New Instance of BeckmanFileHandler! Started: 
11/14/2014 9:21:20 AM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\Data\USER04\
11/14/2014 9:21:20 AM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\
11/14/2014 9:29:01 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00001.xls, 1 move attempts required.
11/14/2014 9:36:28 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00002.xls, 2 move attempts required.
11/14/2014 9:43:44 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00003.xls, 2 move attempts required.
11/14/2014 9:51:01 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00004.xls, 2 move attempts required.
11/14/2014 9:58:19 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00005.xls, 2 move attempts required.
11/14/2014 10:05:36 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00006.xls, 2 move attempts required.
11/14/2014 10:12:55 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00007.xls, 2 move attempts required.
11/14/2014 10:20:53 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00008.xls, 2 move attempts required.
11/14/2014 10:28:21 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00009.xls, 1 move attempts required.
11/14/2014 10:35:41 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00010.xls, 2 move attempts required.
11/14/2014 10:43:00 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00011.xls, 1 move attempts required.
11/14/2014 10:50:20 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00012.xls, 2 move attempts required.
11/14/2014 10:57:39 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00013.xls, 1 move attempts required.
11/14/2014 11:05:05 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00014.xls, 1 move attempts required.
11/14/2014 11:12:13 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00015.xls, 2 move attempts required.
11/14/2014 11:19:37 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00016.xls, 2 move attempts required.
11/14/2014 11:27:11 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00017.xls, 2 move attempts required.
11/14/2014 11:34:47 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00018.xls, 2 move attempts required.
11/14/2014 11:42:21 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00019.xls, 1 move attempts required.
11/14/2014 11:49:46 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00020.xls, 1 move attempts required.
11/14/2014 11:57:09 AM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00021.xls, 2 move attempts required.
11/14/2014 12:04:16 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00022.xls, 1 move attempts required.
11/14/2014 12:11:31 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00023.xls, 1 move attempts required.
11/14/2014 12:18:48 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00024.xls, 1 move attempts required.
11/14/2014 12:26:08 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00025.xls, 2 move attempts required.
11/14/2014 12:33:27 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00026.xls, 1 move attempts required.
11/14/2014 12:40:54 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00027.xls, 2 move attempts required.
11/14/2014 12:48:12 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00028.xls, 1 move attempts required.
11/14/2014 12:55:20 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00029.xls, 1 move attempts required.
11/14/2014 1:02:36 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00030.xls, 2 move attempts required.
11/14/2014 1:09:56 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00031.xls, 1 move attempts required.
11/14/2014 1:17:16 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00032.xls, 2 move attempts required.
11/14/2014 1:24:36 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00033.xls, 2 move attempts required.
11/14/2014 1:32:10 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00034.xls, 2 move attempts required.
11/14/2014 1:39:45 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00035.xls, 1 move attempts required.
11/14/2014 1:47:01 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00036.xls, 1 move attempts required.
11/14/2014 1:54:27 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00037.xls, 2 move attempts required.
11/14/2014 2:02:04 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00038.xls, 2 move attempts required.
