Data Capture Date				14 Nov 2014 09:28:59		
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RAD4F51C.TMP		

Spectrum Type				Linear Counts		
User Number				04		
User Id				TEST2		
User Comment						
Isotope Name				WIND1		
Scintillator				LIQUID		
"Sample, Rack-Pos, Time:"				1	**-1	5.00
"H#, Total Counts:"				54.06	714506	
"Start, End, X-Axis:"				0	4095	Channel Number

Channel	Counts					

0	815
1	3731
2	16297
3	21872
4	22083
5	21568
6	20582
7	19304
8	17702
9	16416
10	14842
11	13356
12	12196
13	10870
14	10063
15	8653
16	7933
17	6826
18	6220
19	5347
20	4829
21	4296
22	3866
23	3463
24	3003
25	2731
26	2418
27	2212
28	2045
29	1853
30	1756
31	1649
32	1548
33	1514
34	1480
35	1459
36	1454
37	1412
38	1382
39	1400
40	1419
41	1437
42	1452
43	1446
44	1366
45	1370
46	1380
47	1376
48	1382
49	1391
50	1377
51	1331
52	1322
53	1315
54	1272
55	1244
56	1232
57	1220
58	1183
59	1166
60	1153
61	1139
62	1085
63	1070
64	1055
65	1039
66	990
67	980
68	971
69	965
70	957
71	951
72	943
73	933
74	891
75	862
76	854
77	846
78	842
79	835
80	836
81	836
82	837
83	813
84	806
85	810
86	814
87	818
88	817
89	824
90	828
91	832
92	822
93	806
94	805
95	800
96	797
97	777
98	758
99	757
100	759
101	761
102	762
103	762
104	769
105	773
106	777
107	776
108	769
109	770
110	771
111	770
112	765
113	733
114	732
115	733
116	735
117	738
118	742
119	746
120	749
121	752
122	752
123	742
124	719
125	718
126	717
127	716
128	717
129	709
130	706
131	710
132	713
133	716
134	721
135	720
136	722
137	724
138	725
139	725
140	723
141	696
142	694
143	690
144	686
145	682
146	679
147	663
148	660
149	657
150	654
151	651
152	650
153	636
154	635
155	633
156	632
157	632
158	631
159	628
160	626
161	625
162	624
163	622
164	622
165	614
166	596
167	595
168	595
169	597
170	598
171	600
172	605
173	609
174	608
175	609
176	608
177	606
178	600
179	579
180	575
181	572
182	570
183	566
184	564
185	558
186	552
187	551
188	550
189	550
190	548
191	549
192	547
193	546
194	546
195	546
196	543
197	543
198	541
199	530
200	520
201	519
202	518
203	516
204	517
205	515
206	516
207	516
208	517
209	516
210	516
211	516
212	515
213	512
214	500
215	499
216	497
217	497
218	495
219	493
220	492
221	482
222	478
223	479
224	479
225	481
226	483
227	486
228	489
229	494
230	496
231	498
232	498
233	500
234	499
235	497
236	487
237	479
238	477
239	477
240	474
241	473
242	471
243	470
244	462
245	461
246	461
247	461
248	462
249	462
250	463
251	463
252	462
253	463
254	464
255	464
256	465
257	465
258	464
259	464
260	451
261	450
262	449
263	449
264	448
265	446
266	446
267	445
268	441
269	440
270	439
271	438
272	439
273	437
274	438
275	437
276	432
277	428
278	428
279	428
280	428
281	428
282	428
283	427
284	425
285	423
286	423
287	424
288	425
289	424
290	426
291	425
292	426
293	422
294	420
295	421
296	421
297	421
298	422
299	423
300	423
301	422
302	419
303	418
304	417
305	418
306	417
307	417
308	415
309	413
310	408
311	398
312	396
313	396
314	396
315	395
316	396
317	396
318	396
319	399
320	402
321	403
322	404
323	404
324	406
325	405
326	405
327	405
328	398
329	392
330	391
331	391
332	390
333	390
334	390
335	390
336	390
337	391
338	390
339	390
340	391
341	391
342	390
343	391
344	391
345	391
346	391
347	381
348	381
349	381
350	382
351	381
352	381
353	382
354	382
355	383
356	381
357	380
358	381
359	382
360	382
361	383
362	383
363	384
364	383
365	381
366	378
367	377
368	377
369	376
370	377
371	376
372	377
373	375
374	376
375	373
376	372
377	372
378	370
379	371
380	371
381	370
382	370
383	370
384	370
385	365
386	364
387	365
388	365
389	365
390	365
391	366
392	365
393	366
394	365
395	360
396	360
397	361
398	361
399	362
400	361
401	363
402	362
403	363
404	363
405	360
406	361
407	361
408	361
409	361
410	362
411	362
412	362
413	362
414	362
415	352
416	352
417	352
418	353
419	353
420	353
421	354
422	356
423	356
424	358
425	363
426	365
427	366
428	367
429	368
430	368
431	368
432	367
433	368
434	367
435	362
436	350
437	348
438	348
439	347
440	347
441	346
442	347
443	347
444	346
445	347
446	350
447	352
448	353
449	353
450	354
451	354
452	355
453	355
454	355
455	356
456	354
457	350
458	349
459	349
460	348
461	347
462	346
463	345
464	344
465	343
466	342
467	337
468	328
469	329
470	328
471	328
472	328
473	329
474	329
475	330
476	331
477	333
478	336
479	340
480	342
481	344
482	344
483	346
484	347
485	347
486	349
487	350
488	350
489	349
490	347
491	346
492	346
493	346
494	345
495	345
496	343
497	343
498	341
499	341
500	335
501	327
502	326
503	325
504	325
505	324
506	324
507	324
508	324
509	325
510	325
511	326
512	329
513	331
514	332
515	333
516	334
517	334
518	336
519	336
520	337
521	339
522	339
523	336
524	337
525	336
526	337
527	337
