Data Capture Date				14 Nov 2014 10:20:52		
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RAD26F44.TMP		

Spectrum Type				Linear Counts		
User Number				04		
User Id				TEST2		
User Comment						
Isotope Name				WIND1		
Scintillator				LIQUID		
"Sample, Rack-Pos, Time:"				14	**-2	5.00
"H#, Total Counts:"				111.4	1160587	
"Start, End, X-Axis:"				0	4095	Channel Number

Channel	Counts					

0	2032
1	1978
2	8108
3	9788
4	8896
5	8306
6	7910
7	7470
8	7181
9	7155
10	7052
11	6916
12	6898
13	6649
14	6802
15	6647
16	6833
17	6547
18	6704
19	6541
20	6665
21	6611
22	6628
23	6645
24	6466
25	6557
26	6406
27	6416
28	6456
29	6274
30	6360
31	6349
32	6275
33	6367
34	6309
35	6255
36	6341
37	6301
38	6263
39	6331
40	6278
41	6163
42	6222
43	6265
44	6163
45	6222
46	6275
47	6125
48	6099
49	6135
50	6110
51	5980
52	6009
53	6038
54	5944
55	5895
56	5905
57	5907
58	5702
59	5676
60	5676
61	5679
62	5528
63	5536
64	5542
65	5544
66	5376
67	5378
68	5379
69	5379
70	5231
71	5213
72	5212
73	5214
74	5120
75	5069
76	5072
77	5075
78	5043
79	4949
80	4945
81	4940
82	4930
83	4807
84	4759
85	4743
86	4731
87	4702
88	4582
89	4571
90	4562
91	4552
92	4497
93	4419
94	4414
95	4410
96	4405
97	4354
98	4307
99	4302
100	4295
101	4289
102	4223
103	4161
104	4149
105	4137
106	4125
107	4072
108	3995
109	3981
110	3968
111	3955
112	3931
113	3852
114	3836
115	3821
116	3804
117	3783
118	3691
119	3645
120	3625
121	3603
122	3586
123	3546
124	3477
125	3457
126	3437
127	3416
128	3393
129	3316
130	3261
131	3241
132	3222
133	3203
134	3188
135	3126
136	3105
137	3089
138	3071
139	3053
140	3034
141	2948
142	2928
143	2907
144	2882
145	2860
146	2835
147	2741
148	2719
149	2696
150	2671
151	2649
152	2629
153	2563
154	2537
155	2520
156	2503
157	2482
158	2466
159	2431
160	2403
161	2383
162	2365
163	2346
164	2324
165	2285
166	2223
167	2201
168	2178
169	2153
170	2130
171	2109
172	2063
173	2031
174	2007
175	1984
176	1959
177	1936
178	1899
179	1830
180	1807
181	1785
182	1764
183	1743
184	1724
185	1701
186	1675
187	1661
188	1644
189	1628
190	1611
191	1594
192	1562
193	1531
194	1514
195	1499
196	1481
197	1467
198	1451
199	1427
200	1405
201	1390
202	1374
203	1356
204	1339
205	1323
206	1296
207	1263
208	1245
209	1227
210	1209
211	1189
212	1168
213	1144
214	1099
215	1080
216	1064
217	1050
218	1035
219	1023
220	1010
221	999
222	987
223	978
224	968
225	958
226	949
227	939
228	927
229	910
230	900
231	888
232	878
233	867
234	855
235	842
236	814
237	792
238	781
239	769
240	760
241	750
242	742
243	732
244	723
245	716
246	708
247	700
248	694
249	685
250	676
251	669
252	646
253	639
254	631
255	624
256	616
257	610
258	603
259	598
260	587
261	583
262	577
263	571
264	564
265	559
266	553
267	547
268	528
269	520
270	516
271	512
272	508
273	505
274	503
275	501
276	503
277	503
278	503
279	500
280	498
281	495
282	491
283	488
284	480
285	464
286	461
287	457
288	455
289	451
290	448
291	446
292	445
293	445
294	443
295	443
296	441
297	440
298	439
299	437
300	437
301	434
302	426
303	424
304	422
305	421
306	420
307	418
