Data Capture Date				16 Nov 2014 13:23:26		
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RAD0BC95.TMP		

Spectrum Type				Linear Counts		
User Number				04		
User Id				TEST2		
User Comment						
Isotope Name				WIND1		
Scintillator				LIQUID		
"Sample, Rack-Pos, Time:"				14	**-2	5.00
"H#, Total Counts:"				111.7	1160357	
"Start, End, X-Axis:"				0	4095	Channel Number

Channel	Counts					

0	2050
1	1869
2	7757
3	9593
4	8857
5	8271
6	7988
7	7552
8	7121
9	7030
10	6938
11	6894
12	6962
13	6719
14	6823
15	6518
16	6672
17	6470
18	6659
19	6535
20	6647
21	6487
22	6439
23	6455
24	6339
25	6439
26	6270
27	6297
28	6379
29	6289
30	6385
31	6319
32	6181
33	6259
34	6239
35	6224
36	6299
37	6185
38	6091
39	6169
40	6186
41	6176
42	6262
43	6304
44	6169
45	6211
46	6239
47	6033
48	5989
49	6021
50	6025
51	5964
52	5996
53	6013
54	5851
55	5763
56	5774
57	5788
58	5676
59	5676
60	5683
61	5678
62	5472
63	5463
64	5456
65	5441
66	5272
67	5273
68	5272
69	5274
70	5141
71	5134
72	5140
73	5147
74	5064
75	5024
76	5026
77	5028
78	4987
79	4880
80	4873
81	4861
82	4850
83	4721
84	4676
85	4666
86	4657
87	4634
88	4535
89	4533
90	4532
91	4530
92	4485
93	4420
94	4419
95	4417
96	4414
97	4356
98	4301
99	4296
100	4290
101	4281
102	4217
103	4156
104	4143
105	4129
106	4116
107	4057
108	3980
109	3964
110	3947
111	3932
112	3902
113	3810
114	3796
115	3782
116	3766
117	3751
118	3678
119	3646
120	3631
121	3616
122	3602
123	3563
124	3495
125	3476
126	3454
127	3433
128	3407
129	3322
130	3263
131	3243
132	3226
133	3208
134	3195
135	3151
136	3135
137	3120
138	3102
139	3084
140	3061
141	2959
142	2937
143	2916
144	2889
145	2868
146	2844
147	2765
148	2744
149	2725
150	2701
151	2681
152	2663
153	2598
154	2574
155	2556
156	2538
157	2518
158	2499
159	2451
160	2416
161	2396
162	2380
163	2361
164	2344
165	2313
166	2269
167	2250
168	2228
169	2206
170	2184
171	2162
172	2106
173	2071
174	2044
175	2020
176	1994
177	1969
178	1930
179	1853
180	1829
181	1809
182	1791
183	1773
184	1758
185	1752
186	1745
187	1733
188	1720
189	1702
190	1685
191	1665
192	1615
193	1570
194	1548
195	1528
196	1507
197	1488
198	1470
199	1440
200	1414
201	1399
202	1384
203	1370
204	1355
205	1344
206	1331
207	1318
208	1306
209	1290
210	1276
211	1258
212	1238
213	1213
214	1156
215	1137
216	1118
217	1102
218	1086
219	1071
220	1056
221	1040
222	1026
223	1014
224	1001
225	987
226	975
227	962
228	943
229	914
230	903
231	892
232	880
233	870
234	859
235	850
236	838
237	829
238	820
239	811
240	803
241	794
242	786
243	778
244	756
245	748
246	739
247	730
248	721
249	712
250	703
251	695
252	673
253	666
254	658
255	651
256	644
257	635
258	630
259	624
260	610
261	605
262	599
263	595
264	590
265	584
266	581
267	576
268	572
269	569
270	564
271	559
272	552
273	547
274	540
275	533
276	512
277	498
278	491
279	486
280	481
281	477
282	474
283	470
284	468
285	470
286	467
287	466
288	465
289	463
290	461
291	459
292	458
293	452
294	448
295	447
296	443
297	441
298	439
299	434
300	432
301	427
302	411
303	409
304	406
305	406
306	403
307	404
308	402
309	403
310	405
311	412
312	412
313	412
314	411
315	412
316	410
317	409
318	407
319	400
320	394
321	391
322	390
323	388
324	386
325	384
326	383
327	381
328	375
329	371
330	369
331	370
332	369
333	369
334	370
335	370
336	372
337	375
338	378
339	380
340	381
341	380
342	381
343	381
344	381
345	380
346	376
347	360
348	358
349	358
350	358
351	359
352	359
353	361
354	362
355	364
356	374
357	377
358	378
359	380
360	379
361	380
362	379
363	378
364	376
365	369
366	353
367	351
368	348
369	347
370	347
371	345
372	346
373	346
374	345
375	348
376	350
377	350
378	352
379	352
380	352
381	353
382	354
383	355
384	355
385	351
386	351
387	351
388	351
389	350
390	350
391	349
392	349
393	348
394	347
395	338
396	337
397	336
398	336
399	336
400	336
401	337
402	337
403	338
404	338
405	337
406	338
407	339
408	340
409	341
410	343
411	343
412	344
413	345
414	346
415	345
416	346
417	346
418	346
419	347
420	346
421	347
422	347
423	347
424	346
425	340
426	336
427	335
428	335
429	335
430	334
431	334
432	334
433	334
434	334
435	335
436	334
437	335
438	335
439	335
440	336
441	336
442	336
443	337
444	337
445	338
446	331
447	329
448	330
449	330
450	331
451	331
452	332
453	333
454	334
455	335
456	336
457	340
458	341
459	342
460	342
461	342
462	341
463	342
464	340
465	341
466	339
467	333
468	325
469	323
470	323
471	322
472	322
473	320
474	319
475	319
476	319
477	318
478	318
479	318
480	318
481	318
482	319
483	319
484	320
485	320
486	320
487	321
488	321
489	320
490	319
491	319
492	319
493	320
494	320
495	320
496	321
497	322
498	322
499	323
500	322
501	321
502	321
503	321
504	322
505	321
506	321
507	321
508	321
509	320
510	319
511	318
512	311
513	310
514	311
515	311
516	310
517	311
518	311
519	312
520	312
521	312
522	314
523	315
524	317
525	317
526	318
527	318
528	319
529	319
530	320
531	320
532	320
533	321
534	319
535	315
536	313
537	314
538	314
539	313
540	313
541	314
542	313
543	312
544	313
545	311
546	309
547	307
548	308
549	308
550	308
551	308
552	309
553	309
554	310
555	311
556	312
557	312
558	313
559	313
560	314
561	315
562	315
563	316
564	316
565	317
566	318
567	317
568	318
569	318
570	311
