Data Capture Date				31 Oct 2014 18:33:54		
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RADCD08E.TMP		

Spectrum Type				Linear Counts		
User Number				04		
User Id				TEST2		
User Comment						
Isotope Name				WIND1		
Scintillator				LIQUID		
"Sample, Rack-Pos, Time:"				14	**-2	5.00
"H#, Total Counts:"				107.2	1155256	
"Start, End, X-Axis:"				0	4095	Channel Number

Channel	Counts					

0	2779
1	2384
2	8422
3	9787
4	8923
5	8291
6	7898
7	7518
8	7326
9	7308
10	7139
11	7033
12	7028
13	6827
14	6963
15	6738
16	6901
17	6598
18	6762
19	6674
20	6794
21	6672
22	6635
23	6704
24	6613
25	6716
26	6512
27	6480
28	6527
29	6361
30	6453
31	6439
32	6343
33	6448
34	6438
35	6414
36	6514
37	6473
38	6411
39	6467
40	6404
41	6253
42	6298
43	6330
44	6194
45	6255
46	6320
47	6245
48	6238
49	6266
50	6196
51	5961
52	5971
53	5998
54	5959
55	5944
56	5971
57	5987
58	5792
59	5761
60	5764
61	5768
62	5619
63	5615
64	5608
65	5596
66	5389
67	5372
68	5360
69	5353
70	5213
71	5191
72	5196
73	5202
74	5131
75	5089
76	5096
77	5101
78	5076
79	4978
80	4969
81	4954
82	4931
83	4766
84	4693
85	4681
86	4675
87	4674
88	4634
89	4638
90	4631
91	4617
92	4532
93	4402
94	4381
95	4365
96	4353
97	4301
98	4251
99	4249
100	4245
101	4244
102	4202
103	4158
104	4150
105	4139
106	4128
107	4068
108	3976
109	3957
110	3941
111	3924
112	3901
113	3816
114	3801
115	3782
116	3764
117	3744
118	3655
119	3608
120	3590
121	3570
122	3553
123	3517
124	3452
125	3432
126	3414
127	3396
128	3373
129	3304
130	3250
131	3229
132	3210
133	3185
134	3165
135	3090
136	3061
137	3040
138	3017
139	2995
140	2974
141	2884
142	2863
143	2844
144	2821
145	2800
146	2783
147	2718
148	2700
149	2678
150	2654
151	2630
152	2607
153	2519
154	2484
155	2463
156	2443
157	2423
158	2407
159	2382
160	2362
161	2343
162	2323
163	2302
164	2279
165	2235
166	2160
167	2135
168	2110
169	2083
170	2060
171	2038
172	1997
173	1970
174	1947
175	1925
176	1905
177	1882
178	1854
179	1793
180	1773
181	1752
182	1732
183	1712
184	1690
185	1667
186	1635
187	1617
188	1601
189	1583
190	1564
191	1548
192	1517
193	1486
194	1467
195	1449
196	1429
197	1409
198	1391
199	1356
200	1322
201	1303
202	1285
203	1267
204	1248
205	1231
206	1210
207	1186
208	1170
209	1155
210	1140
211	1125
212	1110
213	1090
214	1056
215	1042
216	1028
217	1015
218	1002
219	990
220	979
221	961
222	949
223	937
224	927
225	916
226	904
227	894
228	878
229	855
230	844
231	834
232	823
233	813
234	802
235	792
236	777
237	764
238	754
239	746
240	736
241	727
242	718
243	709
244	689
245	680
246	671
247	664
248	657
249	650
250	642
251	635
252	623
253	618
254	611
255	606
256	600
257	595
258	589
259	584
260	571
261	567
262	562
263	558
264	551
265	548
266	544
267	540
268	531
269	526
270	523
271	519
272	514
273	510
274	506
275	503
276	493
277	486
278	483
279	480
280	478
281	474
282	471
283	469
284	467
285	465
286	462
287	461
288	459
289	455
290	453
291	451
292	447
293	438
294	434
295	430
296	428
297	426
298	423
299	420
300	418
301	414
302	407
303	405
304	404
305	401
306	401
307	399
308	398
309	398
310	397
311	396
312	395
313	395
314	395
315	394
316	394
317	394
318	394
319	390
320	386
321	387
322	386
323	387
324	387
325	387
326	388
327	388
328	388
329	387
330	388
331	387
332	388
333	387
334	388
335	387
336	386
337	382
338	376
339	375
340	375
341	374
342	375
343	374
344	374
345	374
346	375
347	379
348	380
349	379
350	378
351	378
352	377
353	376
354	374
355	372
356	359
357	352
358	350
359	350
360	347
361	348
362	348
363	348
364	350
365	352
366	357
367	359
368	361
369	361
370	362
371	364
372	364
373	364
374	363
375	355
376	351
377	351
378	350
379	351
380	351
381	351
382	351
383	352
384	353
385	354
386	355
387	356
388	357
389	356
390	357
391	358
392	357
393	357
394	357
395	348
396	346
397	347
398	346
399	347
400	348
401	347
402	347
403	349
404	348
405	348
406	348
407	349
408	349
409	350
410	350
411	351
412	351
413	351
414	351
415	345
416	345
417	345
418	345
419	344
420	343
421	343
422	344
423	342
424	343
425	341
426	338
427	338
428	338
429	337
430	337
431	337
432	337
433	336
434	336
435	335
436	327
437	328
438	328
439	327
440	329
441	329
442	330
443	332
444	333
445	334
446	339
447	341
448	343
449	344
450	345
451	344
452	345
453	346
454	345
455	345
456	343
457	333
458	331
459	331
460	331
461	328
462	329
463	328
464	327
465	327
466	327
467	325
468	322
469	323
470	323
471	323
472	324
473	324
474	325
475	326
476	327
477	328
478	329
479	331
480	333
481	334
482	334
483	336
484	336
485	336
486	337
487	337
488	336
489	334
490	332
491	331
492	330
493	331
494	329
495	329
496	328
497	329
498	328
499	327
500	325
501	319
502	319
503	319
504	319
505	318
506	319
507	320
508	320
509	321
510	321
511	321
512	323
513	323
514	324
515	324
516	325
517	325
518	325
519	326
520	327
521	326
522	326
523	320
524	317
525	317
526	317
527	318
528	319
529	319
530	320
531	320
532	321
533	321
534	323
535	325
536	326
537	327
538	328
539	328
540	329
541	330
542	330
543	330
544	331
545	330
546	325
547	322
548	322
549	322
550	321
551	322
552	321
553	323
554	322
555	323
556	323
557	323
558	322
559	321
560	322
561	322
562	322
563	323
564	323
565	323
566	324
567	323
568	324
569	324
570	317
571	317
572	318
573	318
574	318
575	319
576	320
577	320
578	321
579	322
580	322
581	324
582	324
583	326
584	327
585	327
586	329
587	329
588	331
589	331
590	332
591	333
592	335
593	335
594	331
595	331
596	331
597	333
598	332
599	333
600	334
601	335
602	335
603	336
604	336
605	337
606	336
607	334
608	335
609	335
610	334
611	336
612	336
613	336
614	336
615	336
616	336
617	337
618	335
619	330
620	329
621	330
622	330
623	330
624	331
625	331
626	332
627	333
628	334
629	334
630	336
631	336
632	336
633	337
634	338
635	338
636	340
637	341
638	342
639	342
640	343
641	345
642	346
643	345
644	344
645	345
646	344
647	346
648	346
