Data Capture Date				08 Nov 2014 19:56:11		
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RADE151D.TMP		

Spectrum Type				Linear Counts		
User Number				04		
User Id				TEST2		
User Comment						
Isotope Name				WIND1		
Scintillator				LIQUID		
"Sample, Rack-Pos, Time:"				14	**-2	5.00
"H#, Total Counts:"				109.2	1158106	
"Start, End, X-Axis:"				0	4095	Channel Number

Channel	Counts					

0	2045
1	2037
2	7888
3	9839
4	8970
5	8304
6	7945
7	7559
8	7274
9	7234
10	7103
11	7032
12	7081
13	6779
14	6894
15	6671
16	6840
17	6624
18	6803
19	6632
20	6745
21	6612
22	6589
23	6589
24	6436
25	6544
26	6422
27	6474
28	6535
29	6387
30	6480
31	6444
32	6348
33	6423
34	6336
35	6272
36	6366
37	6363
38	6368
39	6443
40	6359
41	6218
42	6267
43	6306
44	6214
45	6272
46	6316
47	6141
48	6114
49	6146
50	6121
51	6014
52	6040
53	6060
54	5931
55	5868
56	5880
57	5892
58	5724
59	5720
60	5731
61	5737
62	5591
63	5595
64	5595
65	5579
66	5382
67	5374
68	5370
69	5371
70	5249
71	5240
72	5241
73	5241
74	5128
75	5067
76	5065
77	5060
78	5022
79	4928
80	4927
81	4924
82	4919
83	4809
84	4774
85	4765
86	4755
87	4725
88	4605
89	4596
90	4584
91	4575
92	4519
93	4445
94	4434
95	4422
96	4408
97	4325
98	4253
99	4243
100	4235
101	4231
102	4189
103	4152
104	4149
105	4141
106	4133
107	4082
108	4009
109	3992
110	3975
111	3953
112	3913
113	3794
114	3773
115	3755
116	3740
117	3724
118	3663
119	3639
120	3626
121	3610
122	3595
123	3552
124	3477
125	3458
126	3440
127	3423
128	3403
129	3342
130	3297
131	3280
132	3259
133	3236
134	3214
135	3118
136	3088
137	3067
138	3043
139	3023
140	3000
141	2926
142	2909
143	2888
144	2865
145	2846
146	2822
147	2739
148	2719
149	2699
150	2676
151	2656
152	2636
153	2570
154	2546
155	2528
156	2510
157	2486
158	2467
159	2428
160	2396
161	2372
162	2348
163	2322
164	2292
165	2237
166	2154
167	2126
168	2099
169	2070
170	2047
171	2026
172	1991
173	1967
174	1949
175	1932
176	1913
177	1895
178	1870
179	1826
180	1808
181	1789
182	1772
183	1751
184	1730
185	1697
186	1656
187	1637
188	1620
189	1600
190	1581
191	1564
192	1533
193	1506
194	1490
195	1474
196	1457
197	1439
198	1424
199	1396
200	1369
201	1354
202	1339
203	1323
204	1307
205	1294
206	1275
207	1254
208	1239
209	1224
210	1207
211	1190
212	1171
213	1145
214	1096
215	1079
216	1062
217	1047
218	1033
219	1018
220	1007
221	996
222	985
223	974
224	962
225	949
226	937
227	924
228	902
229	871
230	858
231	846
232	834
233	824
234	813
235	802
236	789
237	777
238	770
239	760
240	753
241	744
242	736
243	729
244	713
245	706
246	698
247	690
248	683
249	674
250	668
251	659
252	641
253	634
254	626
255	621
256	614
257	608
258	601
259	596
260	585
261	580
262	575
263	569
264	563
265	559
266	553
267	548
268	535
269	528
270	523
271	519
272	515
273	510
274	506
275	502
276	495
277	489
278	487
279	483
280	480
281	476
282	473
283	470
284	462
285	453
286	450
287	448
288	446
289	446
290	443
291	442
292	443
293	444
294	446
295	445
296	445
297	444
298	443
299	441
300	440
301	437
302	426
303	424
304	422
305	421
306	419
307	417
308	416
309	416
310	414
311	412
312	412
313	411
314	409
315	409
316	407
317	407
318	405
319	401
320	397
321	395
322	395
323	393
324	392
325	391
326	391
327	389
328	389
329	388
330	386
331	386
332	384
333	383
334	382
335	379
336	378
337	369
338	358
339	355
340	355
341	356
342	355
343	356
344	358
345	358
346	363
347	373
348	375
349	378
350	379
351	380
352	381
353	382
354	382
355	381
356	372
357	368
358	368
359	367
360	367
361	367
362	364
363	365
364	364
365	364
366	362
367	362
368	361
369	361
370	360
371	358
372	357
373	356
374	355
375	346
376	342
377	341
378	341
379	340
380	341
381	341
382	341
383	343
384	343
385	349
386	350
387	351
388	352
389	353
390	352
391	353
392	353
393	353
394	352
395	340
396	340
397	338
398	338
399	338
400	338
401	338
402	338
403	338
404	338
405	338
406	339
407	340
408	342
409	342
410	344
411	344
412	345
413	346
414	347
415	347
416	349
417	349
418	349
419	350
420	350
421	349
422	350
423	349
424	348
425	341
426	336
427	335
428	335
429	334
430	334
431	333
432	333
433	332
434	332
435	331
436	331
437	331
438	331
439	331
440	332
441	331
442	332
443	332
444	333
445	331
446	326
447	324
448	325
449	325
450	326
451	326
452	326
453	327
454	328
455	327
456	329
457	327
458	329
459	329
460	330
461	330
462	331
463	332
464	332
465	332
466	333
467	330
468	327
469	326
470	327
471	328
472	329
473	329
474	330
475	330
476	331
477	332
478	332
479	331
480	333
481	333
482	334
483	335
484	335
485	336
486	336
487	337
488	337
489	336
490	333
491	334
492	334
493	333
494	333
495	332
496	332
497	331
498	331
499	330
500	326
501	320
502	320
503	320
504	318
505	319
506	318
507	317
508	317
509	318
510	317
511	317
512	317
513	317
514	318
515	318
516	320
517	319
518	320
519	321
520	321
521	321
522	321
523	319
524	318
525	318
526	320
527	319
528	320
529	321
530	322
531	322
532	323
533	323
534	323
535	323
536	323
537	324
538	323
539	323
540	323
541	322
542	322
543	322
544	321
545	320
546	313
547	309
548	308
549	307
550	308
551	308
552	308
553	308
554	308
555	309
556	309
557	310
558	311
559	312
560	313
561	314
562	315
563	316
564	318
565	318
566	319
567	321
568	321
569	322
570	322
571	323
572	324
573	325
574	326
575	327
576	328
577	328
578	329
579	329
580	330
581	330
582	326
583	326
584	326
585	327
586	327
587	327
588	327
589	328
590	327
591	327
592	328
593	328
594	323
595	322
596	323
597	322
598	322
599	322
600	322
601	322
602	322
603	322
604	322
605	321
606	319
607	318
608	320
609	319
610	319
611	320
612	320
613	320
614	321
615	321
616	321
617	321
618	322
619	320
620	321
621	322
622	322
623	322
624	321
625	323
626	323
627	323
628	323
629	323
630	324
631	316
632	315
633	316
634	316
635	316
636	316
637	317
638	318
639	318
640	318
641	320
642	320
643	321
644	323
645	324
646	324
647	326
648	327
649	328
650	329
651	329
652	331
653	332
654	331
655	334
656	331
657	330
658	330
659	331
660	331
661	332
662	332
663	333
664	334
665	334
666	335
667	336
668	337
669	335
670	334
671	335
672	335
673	336
674	336
675	337
676	337
677	338
678	338
679	339
680	340
681	340
682	338
683	337
684	336
685	337
686	337
687	337
688	338
689	339
690	339
691	339
692	340
693	339
694	341
695	339
696	337
697	338
698	338
699	338
700	338
701	339
702	338
703	338
704	338
705	338
706	337
707	338
708	337
709	331
710	330
711	331
712	330
713	330
714	331
715	331
716	330
717	332
718	331
719	332
720	332
721	333
722	333
723	333
724	334
725	335
726	334
727	336
728	335
729	336
730	336
731	337
732	337
733	337
734	338
735	336
736	332
737	333
738	332
739	333
740	333
741	333
742	334
743	333
744	334
745	333
746	334
747	335
748	334
749	333
750	334
751	333
752	333
753	334
754	333
755	333
756	332
757	333
758	331
759	331
760	331
761	329
762	330
763	322
764	323
765	321
766	320
767	320
768	320
769	319
770	319
771	319
772	318
773	317
774	317
775	317
776	317
777	319
778	318
779	318
780	318
781	319
782	318
783	317
784	317
785	317
786	317
787	316
788	315
789	315
790	315
791	310
792	310
793	310
794	308
795	308
796	307
797	307
798	305
799	305
800	304
801	304
802	303
803	302
804	302
805	298
806	297
807	297
808	296
809	295
810	295
811	294
812	293
813	293
814	292
815	292
816	290
817	290
818	289
819	287
820	286
821	285
822	285
823	284
824	284
825	284
826	283
827	282
828	283
829	282
830	281
831	282
832	281
833	281
834	282
835	282
836	282
837	281
838	281
839	280
840	281
841	279
842	279
843	278
844	278
845	276
846	277
847	276
848	270
849	269
850	268
851	268
852	267
853	266
854	265
855	265
856	264
857	263
858	264
859	262
860	263
861	261
862	260
863	260
864	259
865	258
866	259
867	258
868	258
869	258
870	258
871	258
872	257
873	257
874	257
875	257
876	257
877	259
878	260
879	260
880	260
881	260
882	260
883	259
884	259
885	257
886	258
887	256
888	257
889	254
890	255
891	252
892	249
893	245
894	244
895	243
896	242
897	242
898	240
899	239
900	237
901	237
902	236
903	234
904	234
905	233
906	232
907	231
908	229
909	229
910	228
911	226
912	227
913	225
914	224
915	223
916	223
917	221
918	221
919	219
920	219
921	218
922	217
923	216
924	214
925	214
926	214
927	212
928	211
929	211
930	210
931	209
932	208
933	208
934	206
935	206
936	205
937	204
938	203
939	203
940	201
941	201
942	200
943	199
944	198
945	197
946	197
947	196
948	195
949	194
950	193
951	192
952	191
953	188
954	187
955	186
956	185
957	183
958	183
959	182
960	181
961	179
962	180
963	177
964	177
965	175
966	175
967	173
968	173
969	172
970	172
971	170
972	169
973	167
974	167
975	166
976	165
977	164
978	162
979	162
980	161
981	160
982	158
983	158
984	156
985	156
986	155
987	154
988	152
989	151
990	149
991	148
992	146
993	145
994	142
995	142
996	139
997	138
998	136
999	135
1000	127
1001	126
1002	122
1003	123
1004	120
1005	119
1006	116
1007	116
1008	113
1009	114
1010	111
1011	110
1012	109
1013	109
1014	107
1015	107
1016	109
1017	109
1018	107
1019	108
1020	105
1021	105
1022	103
1023	103
1024	101
1025	100
1026	99
1027	98
1028	96
1029	96
1030	94
1031	93
1032	87
1033	88
1034	84
1035	85
1036	83
1037	82
1038	80
1039	80
1040	77
1041	78
1042	74
1043	75
1044	72
1045	72
1046	71
1047	71
1048	69
1049	70
1050	69
1051	68
1052	67
1053	66
1054	64
1055	64
