Data Capture Date				10 Nov 2014 17:36:20		
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RAD5489A.TMP		

Spectrum Type				Linear Counts		
User Number				04		
User Id				TEST2		
User Comment						
Isotope Name				WIND1		
Scintillator				LIQUID		
"Sample, Rack-Pos, Time:"				14	**-2	5.00
"H#, Total Counts:"				114.1	1163294	
"Start, End, X-Axis:"				0	4095	Channel Number

Channel	Counts					

0	1985
1	1999
2	7935
3	9803
4	8971
5	8402
6	7889
7	7441
8	7254
9	7206
10	6973
11	6902
12	6933
13	6725
14	6860
15	6644
16	6817
17	6547
18	6707
19	6572
20	6683
21	6609
22	6589
23	6591
24	6380
25	6474
26	6377
27	6401
28	6448
29	6219
30	6320
31	6366
32	6354
33	6459
34	6392
35	6301
36	6361
37	6274
38	6183
39	6249
40	6239
41	6171
42	6245
43	6298
44	6172
45	6227
46	6280
47	6148
48	6115
49	6136
50	6091
51	5911
52	5926
53	5952
54	5877
55	5839
56	5862
57	5883
58	5726
59	5707
60	5713
61	5714
62	5539
63	5530
64	5519
65	5503
66	5287
67	5274
68	5270
69	5274
70	5174
71	5168
72	5177
73	5182
74	5088
75	5028
76	5030
77	5033
78	5005
79	4908
80	4904
81	4898
82	4889
83	4775
84	4726
85	4711
86	4696
87	4668
88	4536
89	4524
90	4516
91	4507
92	4461
93	4386
94	4387
95	4391
96	4396
97	4366
98	4333
99	4333
100	4328
101	4316
102	4232
103	4145
104	4130
105	4117
106	4108
107	4074
108	4024
109	4012
110	4000
111	3984
112	3954
113	3836
114	3817
115	3797
116	3778
117	3758
118	3683
119	3643
120	3627
121	3608
122	3593
123	3557
124	3485
125	3466
126	3448
127	3431
128	3409
129	3338
130	3285
131	3269
132	3254
133	3238
134	3228
135	3192
136	3174
137	3159
138	3133
139	3108
140	3079
141	2934
142	2904
143	2877
144	2849
145	2828
146	2811
147	2765
148	2750
149	2733
150	2713
151	2693
152	2674
153	2599
154	2568
155	2547
156	2525
157	2500
158	2479
159	2427
160	2387
161	2363
162	2342
163	2322
164	2300
165	2269
166	2224
167	2202
168	2179
169	2154
170	2129
171	2104
172	2037
173	1997
174	1970
175	1949
176	1927
177	1907
178	1883
179	1841
180	1825
181	1809
182	1795
183	1778
184	1761
185	1741
186	1715
187	1700
188	1684
189	1665
190	1645
191	1626
192	1586
193	1546
194	1524
195	1505
196	1481
197	1460
198	1439
199	1401
200	1364
201	1347
202	1330
203	1317
204	1302
205	1291
206	1283
207	1276
208	1266
209	1255
210	1243
211	1229
212	1213
213	1192
214	1147
215	1130
216	1115
217	1097
218	1082
219	1066
220	1051
221	1020
222	1001
223	987
224	974
225	961
226	948
227	938
228	926
229	911
230	902
231	891
232	883
233	873
234	862
235	853
236	832
237	817
238	807
239	797
240	787
241	777
242	767
243	757
244	738
245	728
246	719
247	709
248	700
249	693
250	684
251	675
252	658
253	650
254	643
255	636
256	628
257	622
258	616
259	611
260	600
261	595
262	590
263	585
264	579
265	575
266	568
267	564
268	553
269	546
270	542
271	538
272	532
273	528
274	523
275	518
276	510
277	503
278	498
279	495
280	491
281	488
282	484
283	481
284	476
285	468
286	465
287	463
288	462
289	458
290	456
291	453
292	451
293	447
294	445
295	443
296	442
297	439
298	437
299	435
300	432
301	429
302	420
303	418
304	416
305	415
306	412
307	411
308	410
309	409
310	408
311	406
312	405
313	405
314	405
315	405
316	404
317	404
318	404
319	404
320	405
321	404
322	404
323	403
324	402
325	400
326	400
327	397
328	390
329	384
330	382
331	380
332	380
333	378
334	376
335	376
336	376
337	374
338	372
339	373
340	373
341	372
342	373
343	373
344	374
345	374
346	374
347	372
348	372
349	373
350	373
351	374
352	375
353	375
354	374
355	375
356	369
357	367
358	367
359	368
360	369
361	368
362	369
363	370
364	370
365	370
366	370
367	370
368	369
369	369
370	369
371	369
372	368
373	367
374	367
375	360
376	356
377	354
378	354
379	353
380	352
381	353
382	353
383	352
384	353
385	352
386	353
387	354
388	354
389	354
390	355
391	356
392	356
393	356
394	357
395	353
396	352
397	353
398	353
399	353
400	353
401	352
402	351
403	352
404	351
405	345
406	345
407	345
408	345
409	343
410	343
411	341
412	341
413	341
414	339
415	333
416	331
417	331
418	331
419	333
420	332
421	333
422	334
423	335
424	336
425	338
426	340
427	341
428	342
429	343
430	344
431	344
432	346
433	346
434	346
435	344
436	338
437	337
438	338
439	337
440	338
441	338
442	339
443	339
444	339
445	340
446	338
447	339
448	339
449	338
450	340
451	339
452	340
453	340
454	341
455	340
456	340
457	333
458	333
459	333
460	332
461	334
462	335
463	334
464	334
465	335
466	335
467	334
468	334
469	335
470	335
471	334
472	335
473	335
474	336
475	336
476	337
477	335
478	334
479	331
480	331
481	331
482	330
483	329
484	329
485	328
486	327
487	326
488	326
489	319
490	314
491	314
492	314
493	313
494	315
495	314
496	314
497	316
498	316
499	317
500	320
501	322
502	324
503	326
504	326
505	328
506	329
507	330
508	330
509	332
510	332
511	332
512	329
513	329
514	330
515	329
516	329
517	329
518	329
519	329
520	328
521	328
522	328
523	322
524	319
525	318
526	319
527	319
528	320
529	320
530	320
531	321
532	322
533	323
534	325
535	326
536	327
537	328
538	328
539	330
540	329
541	330
542	331
543	331
544	331
545	331
546	325
547	321
548	321
549	321
550	320
551	322
552	322
553	322
554	323
555	323
556	323
557	325
558	327
559	327
560	328
561	329
562	328
563	329
564	328
565	328
566	328
567	327
568	326
569	326
570	315
571	315
572	314
573	314
574	312
575	312
576	312
577	312
578	312
579	312
580	313
581	312
582	314
583	313
584	314
585	315
586	315
587	316
588	317
589	317
590	317
591	319
592	319
593	319
594	314
595	314
596	315
597	316
598	316
599	317
600	318
601	318
602	320
603	321
604	322
605	323
606	324
607	326
608	327
609	328
610	329
611	330
612	331
613	333
614	333
615	334
616	336
617	336
618	335
619	333
620	333
621	334
622	334
623	334
624	335
625	335
626	336
627	335
628	335
629	336
630	335
631	331
632	329
633	328
634	330
635	329
636	330
637	329
638	330
639	330
640	330
641	331
642	331
643	331
644	329
645	329
646	329
647	332
648	331
649	332
650	332
651	333
652	333
653	334
654	335
655	335
656	334
657	334
658	334
659	334
660	336
661	336
662	336
663	337
664	338
665	338
666	339
667	339
668	341
669	338
670	337
671	337
672	337
673	338
674	338
675	339
676	339
677	339
678	340
679	340
680	341
681	341
682	340
683	337
684	339
685	338
686	339
687	339
688	340
689	339
690	340
691	341
692	341
693	341
694	342
695	340
696	340
697	340
698	340
699	340
700	340
701	340
702	339
703	340
704	339
705	339
706	339
707	338
708	338
709	332
710	332
711	332
712	332
713	332
714	332
715	331
716	330
717	331
718	330
719	329
720	330
721	330
722	326
723	325
724	326
725	325
726	325
727	327
728	326
729	327
730	328
731	328
732	329
733	329
734	331
735	332
736	336
737	336
738	337
739	338
740	337
741	339
742	337
743	337
744	337
745	336
746	336
747	335
748	334
749	327
750	323
751	321
752	321
753	320
754	319
755	319
756	317
757	318
758	317
759	316
760	315
761	315
762	315
763	313
764	312
765	313
766	313
767	313
768	314
769	313
770	313
771	314
772	314
773	315
774	315
775	315
776	315
777	320
778	319
779	320
780	320
781	321
782	320
783	319
784	319
785	319
786	318
787	317
788	317
789	315
790	315
791	303
792	302
793	301
794	300
795	299
796	298
797	298
798	297
799	297
800	297
801	297
802	296
803	296
804	296
805	298
806	297
807	298
808	299
809	299
810	300
811	299
812	301
813	301
814	301
815	302
816	302
817	302
818	304
819	304
820	306
821	306
822	306
823	306
824	307
825	307
826	306
827	306
828	306
829	305
830	304
831	304
832	303
833	301
834	296
835	295
836	294
837	293
838	293
839	291
840	290
841	290
842	289
843	288
844	288
845	285
846	286
847	284
848	282
849	282
850	279
851	280
852	278
853	278
854	278
855	276
856	276
857	275
858	275
859	273
860	274
861	272
862	272
863	271
864	270
865	270
866	269
867	268
868	267
869	267
870	266
871	266
872	265
873	264
874	264
875	263
876	263
877	261
878	258
879	257
880	257
881	256
882	256
883	255
884	254
885	253
886	254
887	252
888	253
889	252
890	251
891	250
892	249
893	249
894	248
895	248
896	247
897	248
898	247
899	247
900	246
901	246
902	245
903	245
904	244
905	244
906	244
907	244
908	244
909	245
910	243
911	243
912	242
913	242
914	242
915	241
916	240
917	239
918	239
919	238
920	237
921	236
922	233
923	231
924	229
925	229
926	228
927	226
928	226
929	225
930	223
931	223
932	222
933	221
934	219
935	219
936	217
937	217
938	215
939	214
940	213
941	213
942	210
943	210
944	209
945	208
946	206
947	206
948	204
949	204
950	202
951	201
952	200
953	198
954	196
955	194
956	194
957	192
958	192
959	189
960	190
961	187
962	187
963	185
964	185
965	183
966	182
967	181
968	180
969	178
970	177
971	175
972	176
973	174
974	173
975	171
976	171
977	170
978	169
979	169
980	167
981	167
982	166
983	166
984	165
985	165
986	164
987	164
988	162
989	161
990	161
991	160
992	158
993	158
994	157
995	157
996	154
997	155
998	152
999	153
1000	149
1001	150
1002	147
1003	147
1004	145
1005	145
1006	142
1007	142
1008	139
1009	139
1010	136
1011	136
1012	133
1013	133
1014	130
1015	130
1016	124
1017	124
1018	121
1019	121
1020	118
1021	118
1022	116
1023	115
1024	113
1025	113
1026	110
1027	110
1028	108
1029	108
1030	106
1031	106
1032	107
1033	106
1034	103
1035	104
1036	102
1037	102
1038	99
1039	99
1040	98
1041	97
1042	95
1043	95
1044	93
1045	92
1046	91
1047	90
1048	87
1049	85
1050	84
1051	83
1052	81
1053	81
1054	79
1055	79
1056	77
1057	75
1058	75
1059	74
1060	72
1061	72
1062	71
1063	70
1064	71
1065	71
1066	70
1067	68
1068	68
1069	67
1070	66
1071	65
1072	63
1073	63
1074	61
1075	60
1076	60
1077	58
1078	57
1079	56
1080	54
1081	50
1082	50
1083	47
1084	48
1085	45
1086	46
1087	43
1088	44
1089	42
1090	41
1091	41
1092	40
1093	39
1094	38
1095	37
1096	37
1097	38
1098	38
1099	38
1100	38
1101	37
1102	36
1103	36
1104	36
1105	35
1106	35
1107	34
1108	34
1109	33
1110	32
1111	33
1112	31
1113	31
1114	30
1115	29
1116	28
1117	28
1118	28
1119	27
1120	26
1121	27
1122	25
1123	26
1124	24
1125	25
1126	23
1127	24
1128	23
1129	22
1130	22
1131	22
1132	22
1133	21
1134	22
1135	20
1136	21
1137	20
1138	20
1139	19
1140	19
1141	19
1142	18
1143	18
1144	17
1145	17
1146	16
1147	16
1148	16
1149	16
1150	16
1151	15
1152	15
1153	14
1154	14
1155	14
1156	14
1157	13
1158	12
1159	12
1160	12
1161	11
1162	11
1163	11
1164	11
1165	10
1166	10
1167	9
1168	9
1169	9
1170	9
1171	8
1172	9
1173	8
1174	8
1175	7
1176	7
1177	7
1178	6
1179	7
1180	6
1181	6
1182	7
1183	7
1184	6
1185	7
1186	6
1187	6
1188	5
1189	6
1190	6
1191	5
1192	5
1193	5
1194	4
1195	4
1196	5
1197	4
1198	4
1199	4
1200	3
1201	4
1202	4
1203	3
1204	3
1205	3
1206	4
1207	3
1208	2
1209	3
1210	3
1211	3
1212	2
1213	2
1214	3
1215	2
1216	3
1217	2
1218	3
1219	3
1220	3
1221	2
1222	3
1223	3
1224	2
1225	3
1226	3
1227	3
1228	2
1229	3
1230	4
1231	3
1232	3
1233	3
1234	3
1235	3
1236	2
1237	3
1238	2
