Data Capture Date				13 Nov 2014 08:33:13		
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RAD6A134.TMP		

Spectrum Type				Linear Counts		
User Number				04		
User Id				TEST2		
User Comment						
Isotope Name				WIND1		
Scintillator				LIQUID		
"Sample, Rack-Pos, Time:"				1	**-1	5.00
"H#, Total Counts:"				44.50	698129	
"Start, End, X-Axis:"				0	4095	Channel Number

Channel	Counts					

0	765
1	3982
2	16399
3	21729
4	22120
5	21602
6	20756
7	19379
8	17615
9	16297
10	14778
11	13332
12	12159
13	10647
14	9778
15	8451
16	7769
17	6755
18	6167
19	5275
20	4752
21	4213
22	3781
23	3363
24	2890
25	2620
26	2317
27	2123
28	1971
29	1809
30	1721
31	1612
32	1512
33	1477
34	1445
35	1429
36	1433
37	1408
38	1392
39	1404
40	1399
41	1383
42	1397
43	1403
44	1364
45	1376
46	1386
47	1360
48	1357
49	1364
50	1356
51	1326
52	1317
53	1307
54	1250
55	1214
56	1197
57	1182
58	1149
59	1130
60	1115
61	1097
62	1034
63	1018
64	1004
65	993
66	970
67	963
68	953
69	943
70	900
71	888
72	883
73	879
74	871
75	867
76	864
77	861
78	848
79	822
80	821
81	822
82	823
83	818
84	817
85	820
86	819
87	813
88	780
89	778
90	778
91	783
92	781
93	779
94	783
95	782
96	783
97	767
98	751
99	752
100	752
101	755
102	752
103	752
104	755
105	758
106	762
107	757
108	746
109	749
110	751
111	754
112	752
113	736
114	739
115	741
116	742
117	745
118	737
119	736
120	737
121	738
122	737
123	730
124	711
125	710
126	709
127	707
128	706
129	699
130	696
131	695
132	698
133	699
134	698
135	684
136	682
137	683
138	685
139	687
140	687
141	678
142	679
143	679
144	677
145	675
146	672
147	653
148	649
149	648
150	644
151	642
152	641
153	630
154	628
155	628
156	625
157	623
158	623
159	616
160	611
161	610
162	608
163	606
164	605
165	600
166	585
167	584
168	583
169	585
170	585
171	587
172	588
173	591
174	590
175	587
176	586
177	582
178	573
179	546
180	543
181	540
182	539
183	537
184	537
185	539
186	544
187	546
188	545
189	546
190	547
191	545
192	535
193	525
194	523
195	523
196	520
197	518
198	519
199	513
200	508
201	509
202	509
203	510
204	512
205	512
206	513
207	512
208	514
209	514
210	513
211	511
212	509
213	506
214	494
215	491
216	488
217	484
218	483
219	480
220	478
221	462
222	456
223	455
224	454
225	457
226	459
227	461
228	467
229	476
230	479
231	482
232	484
233	487
234	487
235	486
236	477
237	470
238	469
239	469
240	469
241	468
242	466
243	467
244	465
245	466
246	464
247	463
248	462
249	460
250	458
251	455
252	438
253	436
254	434
255	433
256	431
257	431
258	430
259	430
260	430
261	429
262	430
263	432
264	432
265	434
266	435
267	436
268	438
269	439
270	440
271	440
272	438
273	438
274	437
275	435
276	424
277	418
278	417
279	415
280	414
281	412
282	411
283	410
284	409
285	407
286	407
287	405
288	406
289	405
290	404
291	404
292	403
293	394
294	391
295	392
296	391
297	393
298	393
299	395
300	396
301	399
302	403
303	406
304	405
305	408
306	408
307	407
308	409
309	408
310	403
311	394
312	393
313	392
314	392
315	391
316	391
317	391
318	391
319	391
320	391
321	392
322	392
323	392
324	392
325	393
326	392
327	392
328	387
329	383
330	382
331	381
332	380
333	380
334	379
335	379
336	378
337	377
338	374
339	373
340	374
341	374
342	374
343	374
344	375
345	375
346	374
347	373
348	372
349	372
350	372
351	371
352	372
353	371
354	371
355	370
356	364
357	361
358	361
359	361
360	362
361	362
362	363
363	363
364	363
365	365
366	363
367	364
368	365
369	367
370	367
371	368
372	369
