Data Capture Date				13 Oct 2014 03:29:37		
User Filename				C:\DOCUME~1\LABADM~1\LOCALS~1\TEMP\RAD942FA.TMP		

Spectrum Type				Linear Counts		
User Number				04		
User Id				TEST2		
User Comment						
Isotope Name						
Scintillator				LIQUID		
"Sample, Rack-Pos, Time:"				136	**-4	5.00
"H#, Total Counts:"				178.4	469295	
"Start, End, X-Axis:"				0	4095	Channel Number

Channel	Counts					

0	574
1	2372
2	9445
3	12001
4	10930
5	9321
6	7778
7	6212
8	5002
9	4125
10	3405
11	2944
12	2632
13	2304
14	2154
15	1944
16	1912
17	1854
18	1858
19	1740
20	1721
21	1688
22	1673
23	1649
24	1559
25	1586
26	1589
27	1622
28	1666
29	1646
30	1682
31	1675
32	1636
33	1661
34	1667
35	1669
36	1694
37	1686
38	1663
39	1658
40	1615
41	1540
42	1518
43	1489
44	1423
45	1401
46	1378
47	1326
48	1289
49	1259
50	1215
51	1137
52	1110
53	1085
54	1047
55	1022
56	1015
57	1010
58	998
59	995
60	992
61	986
62	940
63	935
64	931
65	929
66	907
67	910
68	912
69	916
70	899
71	900
72	905
73	910
74	900
75	894
76	899
77	899
78	892
79	864
80	867
81	871
82	877
83	874
84	875
85	883
86	887
87	885
88	863
89	862
90	861
91	861
92	848
93	830
94	830
95	832
96	834
97	833
98	832
99	832
100	832
101	829
102	807
103	786
104	782
105	781
106	778
107	775
108	771
109	772
110	774
111	774
112	772
113	756
114	755
115	753
116	751
117	750
118	732
119	724
120	721
121	720
122	719
123	715
124	707
125	707
126	703
127	701
128	697
129	681
130	667
131	665
132	662
133	661
134	662
135	656
136	656
137	658
138	657
139	657
140	658
141	641
142	640
143	638
144	635
145	632
146	630
147	607
148	605
149	603
150	603
151	602
152	603
153	605
154	606
155	608
156	608
157	606
158	606
159	594
160	585
161	582
162	577
163	574
164	570
165	560
166	538
167	536
168	534
169	534
170	537
171	539
172	547
173	553
174	557
175	560
176	561
177	561
178	560
179	542
180	542
181	541
182	539
183	540
184	538
185	535
186	531
187	532
188	530
189	529
190	528
191	526
192	521
193	514
194	512
195	510
196	508
197	507
198	506
199	496
200	488
201	486
202	488
203	487
204	487
205	489
206	490
207	490
208	492
209	494
210	496
211	499
212	499
213	502
214	498
215	499
216	499
217	498
218	497
219	496
220	495
221	483
222	478
223	477
224	473
225	473
226	470
227	468
228	464
229	456
230	454
231	454
232	455
233	458
234	459
235	462
236	466
237	469
238	471
239	472
240	474
241	475
242	475
243	475
244	462
245	460
246	458
247	457
248	456
249	456
250	456
251	455
252	450
253	449
254	449
255	449
256	449
257	449
258	448
259	448
260	441
261	441
262	441
263	441
264	443
265	443
266	443
267	444
268	440
269	440
270	439
271	440
272	440
273	440
274	441
275	441
276	437
277	432
278	431
279	432
280	431
281	430
282	430
283	428
284	428
285	420
286	422
287	422
288	421
289	422
290	422
291	422
292	423
293	421
294	421
295	420
296	422
297	422
298	423
299	423
300	425
301	424
302	416
303	417
304	417
305	418
306	418
307	418
308	417
309	418
310	414
311	408
312	407
313	409
314	409
315	410
316	412
317	413
318	416
319	419
320	421
321	422
322	424
323	425
324	425
325	426
326	426
327	425
328	419
329	412
330	411
331	410
332	409
333	407
334	406
335	405
336	405
337	402
338	399
339	398
340	397
341	395
342	395
343	394
344	393
345	393
346	392
347	389
348	388
349	388
350	387
351	386
352	385
353	385
354	385
355	384
356	377
357	375
358	375
359	375
360	375
361	377
362	377
363	380
364	381
365	384
366	386
367	389
368	391
369	393
370	395
371	396
372	397
373	400
374	401
375	399
376	397
377	399
378	398
379	399
380	399
381	399
382	398
383	399
384	399
385	390
386	387
387	387
388	386
389	386
390	385
391	385
392	384
393	384
394	384
395	379
396	380
397	379
398	379
399	379
400	380
401	380
402	380
403	380
404	380
405	376
406	375
407	376
408	377
409	377
410	377
411	376
412	377
413	377
414	377
415	373
416	372
417	373
418	373
419	374
420	374
421	374
422	375
423	375
424	376
425	374
426	371
427	373
428	373
429	374
430	376
431	376
432	377
433	379
434	379
435	379
436	378
437	381
438	380
439	381
440	382
441	382
442	383
443	383
444	383
445	382
446	375
447	371
448	371
449	371
450	372
451	372
452	373
453	374
454	375
455	376
456	378
457	380
458	381
459	383
460	384
461	386
462	386
463	388
464	388
465	390
466	391
467	388
468	384
469	385
470	385
471	387
472	387
473	387
474	389
475	388
476	390
477	391
478	390
479	389
480	389
481	391
482	391
483	391
484	392
485	392
486	392
487	393
488	392
489	387
490	381
491	381
492	381
493	381
494	382
495	383
496	383
497	383
498	385
499	386
500	386
501	387
502	389
503	390
504	390
505	392
506	393
507	395
508	395
509	397
510	399
511	398
512	392
513	394
514	395
515	396
516	398
517	399
518	400
519	402
520	404
521	405
522	407
523	408
524	409
525	410
526	412
527	414
528	414
529	417
530	418
531	418
532	419
533	420
534	418
535	412
536	413
537	413
538	413
539	415
540	415
541	416
542	417
543	418
544	419
545	421
546	421
547	422
548	424
549	424
550	425
551	427
552	427
553	428
554	428
555	429
556	429
557	429
558	420
559	418
560	419
561	420
562	420
563	421
564	422
565	423
566	424
567	426
568	427
569	428
570	431
571	432
572	434
573	437
574	438
575	439
576	442
577	443
578	445
579	447
580	449
581	450
582	448
583	449
584	451
585	452
586	454
587	454
588	457
589	457
590	459
591	459
592	461
593	462
594	457
595	457
596	458
597	459
598	459
599	460
600	462
601	462
602	463
603	464
604	464
605	467
606	464
607	464
608	464
609	465
610	465
611	466
612	467
613	467
614	468
615	469
616	468
617	469
618	468
619	461
620	460
621	461
622	462
623	462
624	463
625	464
626	464
627	465
628	467
629	467
630	467
631	472
632	474
633	474
634	475
635	476
636	475
637	475
638	474
639	473
640	473
641	471
642	471
643	468
644	458
645	457
646	455
647	452
648	451
649	449
650	448
651	446
652	444
653	442
654	441
655	438
656	436
657	432
658	429
659	429
660	425
661	424
662	421
663	418
664	417
665	415
666	412
667	410
668	407
669	404
670	401
671	397
672	395
673	392
674	389
675	388
676	383
677	382
678	379
679	376
680	375
681	369
682	367
683	363
684	360
685	357
686	352
687	349
688	346
689	341
690	339
691	334
692	330
693	327
694	321
695	315
696	305
697	300
698	297
699	291
700	289
701	285
702	280
703	278
704	273
705	270
706	266
707	262
708	261
709	261
710	258
711	255
712	251
713	248
714	244
715	241
716	236
717	232
718	230
719	223
720	220
721	216
722	204
723	199
724	191
725	189
726	185
727	181
728	178
729	172
730	170
731	166
732	162
733	160
734	156
735	154
736	155
737	151
738	150
739	146
740	143
741	140
742	137
743	134
744	130
745	129
746	124
747	122
748	118
749	112
750	109
751	104
752	103
753	99
754	97
755	94
756	91
757	90
758	84
759	84
760	82
761	79
762	78
763	77
764	76
765	74
766	73
767	70
768	69
769	67
770	65
771	64
772	60
773	59
774	58
775	56
776	54
777	52
778	51
779	48
780	48
781	46
782	45
783	44
784	41
785	42
786	39
787	38
788	37
789	36
790	36
791	36
792	36
793	34
794	35
795	33
796	32
797	32
798	31
799	30
800	29
801	28
802	28
803	26
804	26
805	24
806	24
807	23
808	23
809	21
810	21
811	21
812	20
813	20
814	18
815	17
816	18
817	17
818	16
819	17
820	18
821	17
822	18
823	16
824	16
825	15
826	15
827	14
828	14
829	14
830	13
831	13
832	12
833	12
834	10
835	10
836	10
837	9
838	9
839	8
840	7
841	8
842	7
843	6
844	7
845	6
846	5
847	5
848	6
849	6
850	5
851	6
852	5
853	6
854	5
855	5
856	4
857	5
858	4
859	4
860	4
861	4
862	3
863	4
864	5
865	4
866	4
867	4
868	3
869	4
870	3
871	3
872	3
873	4
874	3
875	3
876	3
877	2
878	3
879	3
880	3
881	2
882	3
883	2
884	2
885	2
886	3
887	1
888	2
889	1
890	1
891	1
892	1
893	2
894	1
895	2
896	2
897	1
898	1
899	1
